string,file,line
Password copied.,resources/views/admin/users/partials/user-table.blade.php,225
Password updated.,app/Http/Controllers/Admin/UserController.php,144
Pause,resources/views/livewire/teacher/my-requests.blade.php,168
Paused,app/Models/SupportRequest.php,79
Pending approval,app/Http/Controllers/Admin/UserController.php,60
Period,resources/views/livewire/teacher/request-history.blade.php,15
Physical rooms,resources/views/admin/dashboard.blade.php,17
Please choose a room before creating a request.,app/Http/Controllers/Student/SupportRequestController.php,31
"Please complete, pause, or return requests to the queue before changing rooms.",resources/views/teacher/classroom.blade.php,30
Please confirm the room change to cancel active requests.,app/Http/Controllers/Student/ClassroomController.php,42
Priority,resources/views/livewire/teacher/my-requests.blade.php,43
Priority request,resources/views/livewire/teacher/request-history.blade.php,79
Priority request cancelled.,app/Livewire/Teacher/PriorityRequests.php,82
Priority request completed.,app/Livewire/Teacher/PriorityRequests.php,91
Priority request sent.,app/Livewire/Teacher/PriorityRequests.php,69
Priority requests,resources/views/layouts/navigation.blade.php,31
Profile,resources/views/layouts/navigation.blade.php,82
Profile Information,resources/views/profile/partials/update-profile-information-form.blade.php,4
Profile updated.,resources/views/components/toast-stack.blade.php,5
Quickly ask another teacher for help in a target room.,resources/views/livewire/teacher/priority-requests.blade.php,5
Ready to review,app/Models/SupportRequest.php,80
Register,resources/views/auth/register.blade.php,48
Remember me,resources/views/auth/login.blade.php,28
Request,resources/views/student/history.blade.php,13
Request cancelled.,app/Http/Controllers/Student/SupportRequestController.php,134
Request completed.,app/Livewire/Teacher/MyRequests.php,22
Request created.,app/Http/Controllers/Student/SupportRequestController.php,78
Request paused.,app/Livewire/Teacher/MyRequests.php,30
Request returned to the queue.,app/Livewire/Teacher/MyRequests.php,40
Request returned to waiting.,app/Livewire/Teacher/OtherTeacherRequests.php,40
Request taken and completed.,app/Livewire/Teacher/WaitingQueue.php,71
Request taken.,app/Livewire/Teacher/WaitingQueue.php,40
Request type,resources/views/student/requests/form.blade.php,49
Request updated.,app/Http/Controllers/Student/SupportRequestController.php,108
"Requests assigned in this room, occasional management.",resources/views/livewire/teacher/other-teacher-requests.blade.php,6
Requests for the current room based on the selected filters.,resources/views/livewire/teacher/request-history.blade.php,5
"Requests for the current room, oldest first.",resources/views/livewire/teacher/waiting-queue.blade.php,5
Requests taken in this room.,resources/views/livewire/teacher/my-requests.blade.php,5
Resend Verification Email,resources/views/auth/verify-email.blade.php,12
Reset,resources/views/admin/classrooms/index.blade.php,178
Reset Password,resources/views/auth/reset-password.blade.php,35
Return request to waiting,resources/views/livewire/teacher/other-teacher-requests.blade.php,131
Return to queue,resources/views/livewire/teacher/my-requests.blade.php,180
Role,resources/views/admin/users/index.blade.php,213
Roles,resources/views/admin/users/index.blade.php,90
Roles updated.,app/Http/Controllers/Admin/UserController.php,192
Room,resources/views/admin/classrooms/index.blade.php,189
Room :name,resources/views/student/requests/form.blade.php,12
Room activated.,app/Http/Controllers/Admin/ClassroomController.php,74
Room created.,app/Http/Controllers/Admin/ClassroomController.php,58
Room deactivated.,app/Http/Controllers/Admin/ClassroomController.php,74
Room deleted. Associated requests keep their history.,app/Http/Controllers/Admin/ClassroomController.php,81
Room updated.,app/Http/Controllers/Admin/ClassroomController.php,65
Rooms,resources/views/admin/classrooms/index.blade.php,3
Save,resources/views/admin/classrooms/index.blade.php,258
Save password,resources/views/admin/users/partials/user-table.blade.php,241
Search,resources/views/admin/classrooms/index.blade.php,159
Select a room,resources/views/teacher/classroom.blade.php,17
Send request,resources/views/livewire/teacher/priority-requests.blade.php,27
Sent by,resources/views/livewire/teacher/my-requests.blade.php,44
Sent requests,resources/views/livewire/teacher/priority-requests.blade.php,35
Settings,resources/views/admin/dashboard.blade.php,24
Settings saved.,app/Http/Controllers/Admin/SettingController.php,49
Since,resources/views/livewire/teacher/my-requests.blade.php,61
Start date,resources/views/livewire/teacher/request-history.blade.php,25
Status,resources/views/admin/classrooms/index.blade.php,164
Statuses,resources/views/admin/users/partials/user-table.blade.php,121
Student,resources/views/admin/users/index.blade.php,94
Students,app/Http/Controllers/Admin/UserController.php,64
Subject,resources/views/admin/subjects/index.blade.php,257
Subject activated.,app/Http/Controllers/Admin/SubjectController.php,90
Subject created.,app/Http/Controllers/Admin/SubjectController.php,74
Subject deactivated.,app/Http/Controllers/Admin/SubjectController.php,90
Subject deleted. Associated requests keep their history.,app/Http/Controllers/Admin/SubjectController.php,97
Subject updated.,app/Http/Controllers/Admin/SubjectController.php,81
Subjects,resources/views/admin/dashboard.blade.php,20
Table,resources/views/livewire/teacher/my-requests.blade.php,129
Table :table,resources/views/livewire/student/active-requests.blade.php,17
Table number,resources/views/student/requests/form.blade.php,42
Take,resources/views/livewire/teacher/waiting-queue.blade.php,45
Take and complete,resources/views/livewire/teacher/waiting-queue.blade.php,128
Taken,resources/views/components/student-request-badges.blade.php,19
Taken by,resources/views/livewire/teacher/priority-requests.blade.php,66
Taken by :name,resources/views/components/student-request-badges.blade.php,17
Target room,resources/views/livewire/teacher/priority-requests.blade.php,10
Teacher,resources/views/admin/users/index.blade.php,98
Teachers,app/Http/Controllers/Admin/UserController.php,65
The URL must be valid.,app/Http/Controllers/Admin/SubjectController.php,120
The request has been updated.,app/Http/Controllers/Student/SupportRequestController.php,128
The room associated with this request no longer exists.,app/Http/Controllers/Student/SupportRequestController.php,87
The selected room is not available.,app/Livewire/Teacher/PriorityRequests.php,45
The teacher will see that you are ready.,app/Http/Controllers/Student/SupportRequestController.php,148
There are still active requests in the current room.,app/Http/Controllers/Teacher/ClassroomController.php,40
This is a secure area of the application. Please confirm your password before continuing.,resources/views/auth/confirm-password.blade.php,3
This priority request can no longer be changed.,app/Livewire/Teacher/PriorityRequests.php,139
This request can no longer be cancelled from the queue.,app/Livewire/Teacher/WaitingQueue.php,107
This request can no longer be taken and completed.,app/Livewire/Teacher/WaitingQueue.php,65
This request cannot be changed.,app/Livewire/Teacher/MyRequests.php,84
This request cannot be managed.,app/Livewire/Teacher/OtherTeacherRequests.php,19
This request has already been taken by a teacher. Do you really want to cancel it?,resources/views/livewire/student/active-requests.blade.php,87
This request was taken by another teacher.,app/Livewire/Teacher/WaitingQueue.php,34
This request will be cancelled and will no longer be visible in the queue. Do you want to continue?,resources/views/livewire/teacher/waiting-queue.blade.php,179
Tile,resources/views/livewire/teacher/my-requests.blade.php,115
Today,resources/views/livewire/teacher/request-history.blade.php,17
Type,resources/views/livewire/teacher/other-teacher-requests.blade.php,120
URL,resources/views/admin/subjects/index.blade.php,121
Update Password,resources/views/profile/partials/update-password-form.blade.php,4
Use this room,resources/views/student/classroom.blade.php,53
User,resources/views/admin/users/partials/user-table.blade.php,5
User created.,app/Http/Controllers/Admin/UserController.php,95
User updated.,app/Http/Controllers/Admin/UserController.php,131
Users,resources/views/admin/dashboard.blade.php,12
Validation,app/Models/SupportRequest.php,69
View history,resources/views/livewire/teacher/dashboard-view.blade.php,6
Waiting,app/Models/SupportRequest.php,77
With,resources/views/livewire/teacher/other-teacher-requests.blade.php,46
You already have an active request.,app/Http/Controllers/Student/SupportRequestController.php,22
You can use [table] to insert the table number and [section] to insert the Moodle tile number in the URL.,resources/views/admin/subjects/index.blade.php,124
You cannot deactivate your own account.,app/Http/Controllers/Admin/UserController.php,112
You cannot remove your own admin role.,app/Http/Controllers/Admin/UserController.php,105
Your account must be approved before you can use LineUp.,resources/views/auth/approval-pending.blade.php,13
Your email address is unverified.,resources/views/profile/partials/update-profile-information-form.blade.php,34
auth.password,app/Http/Controllers/Auth/ConfirmablePasswordController.php,32
